feature,importance
num__fat,0.32795609813034937
num__pct_fat,0.27624792398796866
num__bw,0.11619068320828585
num__lean,0.08961740464146835
cat__strain_ILSXISS16/TejJ,0.020316010214655355
cat__strain_ILSXISS56/TejJ,0.018528607385313256
cat__strain_ILSXISS50/TejJ,0.01563909235136225
cat__strain_ILSXISS62/TejJ,0.014049833639118804
cat__strain_ILSXISS98/TejJ,0.010868189346748594
cat__sex_f,0.008373829203073689
cat__sex_m,0.00837079415667226
cat__strain_ILSXISS79,0.007568842513876451
cat__strain_ILSXISS3/TejJ,0.006998588831833708
cat__strain_ILSXISS115/TejJ,0.005845688191403775
cat__strain_ILSXISS123/TejJ,0.005730811797202949
cat__diet_AL,0.0055757000963119994
cat__diet_DR,0.005011120632040229
cat__strain_ILSXISS24/TejJ,0.004896177023504986
cat__strain_ILSXISS107/TejJ,0.004358037768562928
cat__strain_ILSXISS80/TejJ,0.0040408549492876675
cat__strain_ILSXISS7/TejJ,0.003964230733739142
cat__strain_ILSXISS97/TejJ,0.003380607714286954
cat__strain_ILSXISS23/TejJ,0.003366232886469704
cat__strain_ILSXISS99/TejJ,0.0032465790609895197
cat__strain_ILSXISS89/TejJ,0.0031568172195367483
cat__strain_ILSXISS46/TejJ,0.0024979208876102863
cat__strain_ILSXISS117,0.002253496693064041
cat__strain_ILSXISS86/TejJ,0.001921151707920008
cat__strain_ILSXISS94/TejJ,0.001723918197031966
cat__strain_ILSXISS26/TejJ,0.0015058040268580244
cat__strain_ILSXISS110/TejJ,0.001491312766331482
cat__strain_ILSXISS52/TejJ,0.001482495841517159
cat__strain_ILSXISS22/TejJ,0.0014552916997194812
cat__strain_ILSXISS92/TejJ,0.001408201639521498
cat__strain_ILSXISS19/TejJ,0.0012309942369011298
cat__strain_ILSXISS114/TejJ,0.001224339230722128
cat__strain_ILSXISS13/TejJ,0.0011875701547695175
cat__strain_ILSXISS122/TejJ,0.001178809758076413
cat__strain_ILSXISS51/TejJ,0.0009863277913426138
cat__strain_ILSXISS100/TejJ,0.0009215252269121853
cat__strain_ILSXISS112/TejJ,0.0008758836844759689
cat__strain_ILSXISS84/TejJ,0.0007665362332493525
cat__strain_ILSXISS60/TejJ,0.0005482945390529592
cat__strain_ILSXISS25/TejJ,0.00048550387584222354
cat__strain_ILSXISS66/TejJ,0.000384224780806103
cat__strain_ILSXISS48/TejJ,0.0002838727415380362
cat__strain_ILSXISS49/TejJ,0.0002610454236597055
cat__strain_ILSXISS103/TejJ,0.00021738338695054927
cat__strain_ILSXISS90/TejJ,0.00013610981943599013
cat__strain_ILSXISS41/TejJ,0.00013018549613301943
cat__strain_ILSXISS14/TejJ,7.708859283274006e-05
cat__strain_ILSXISS28/TejJ,6.59558836621721e-05
